team,avg_lap_time,latitude,longitude,circuitType,precipitation,windspeed,temp,race_condition
Sauber,139.78099999999998,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Manor Marussia,139.79562500000003,43.7347,7.42056,Street circuit,0.0,3.6,65.1,Dry
Ferrari,80.52980000000001,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Mercedes,81.0966,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Red Bull,80.96239999999999,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Williams,81.6371,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
McLaren,82.81869999999999,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Force India,82.5429,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Haas F1 Team,84.04974999999999,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Toro Rosso,84.424875,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Manor Marussia,85.23150000000001,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Renault,85.43075,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Sauber,85.7425,45.5,-73.5228,Street circuit,0.02,3.1,58.1,Damp
Mercedes,112.5463,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Red Bull,114.18589999999999,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Ferrari,112.45290000000003,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Force India,113.9025,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Williams,113.801,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Toro Rosso,116.54012499999999,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Haas F1 Team,115.51544444444443,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
McLaren,115.59249999999999,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Sauber,115.95533333333333,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Manor Marussia,120.86712499999999,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Renault,116.76249999999999,40.3725,49.8533,Street circuit,0.0,14.8,78.6,Dry
Mercedes,73.04450000000001,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
McLaren,73.91760000000001,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Ferrari,73.51570000000001,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Force India,73.9726,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Red Bull,73.6602,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
